id,house_name,address and prices
1,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
1,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
1,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
1,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
1,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
1,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
1,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
1,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
1,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
2,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
2,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
2,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
2,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
2,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
2,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
2,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
2,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
2,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
3,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
3,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
3,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
3,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
3,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
3,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
3,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
3,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
3,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
4,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
4,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
4,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
4,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
4,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
4,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
4,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
4,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
4,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
5,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
5,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
5,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
5,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
5,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
5,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
5,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
5,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
5,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
6,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
6,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
6,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
6,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
6,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
6,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
6,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
6,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
6,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
7,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
7,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
7,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
7,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
7,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
7,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
7,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
7,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
7,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
8,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
8,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
8,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
8,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
8,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
8,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
8,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
8,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
8,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
9,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
9,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
9,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
9,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
9,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
9,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
9,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
9,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
9,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
10,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
10,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
10,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
10,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
10,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
10,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
10,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
10,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
10,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
11,Eden Ruby Lake,"9950 Elan Cir, Orlando, FL$1,713+ 1 bd$2,204+ 2 bds$2,998+ 3 bds"
11,Vida at Health Village,"2680 N Orange Ave, Orlando, FL$1,910+ Studio$2,310+ 1 bd$3,080+ 2 bds$3,885+ 3 bds"
11,Ellery at Lake Sherwood,"8008 Balasands Blvd, Orlando, FL$1,535+ 1 bd$2,030+ 2 bds$2,420+ 3 bds"
11,Avisa Lakes Apartments,"7960 Pine Crossing Cir, Orlando, FL$1,465+ 1 bd$1,670+ 2 bds"
11,Avery Place Villas,"5917 Mustang Pl, Orlando, FL$1,600+ 1 bd$2,070+ 2 bds$2,240+ 3 bds"
11,Abaco Key,"10712 Mystic Cir, Orlando, FL$1,935+ 2 bds$2,345+ 3 bds"
11,"Camden Lee Vista, 5901 Bent Pine Dr #505, Orlando, FL 32822$2,489/mo3 bds2 ba1,352 sqft- Apartment for rent",NA
11,Camden Lavina,"9405 Dowden Rd, Orlando, FL$1,599+ 1 bd$2,289+ 2 bds$2,789+ 3 bds"
11,Amara at Metro West,"6168 Raleigh St, Orlando, FL$1,673+ 1 bd$1,719+ 2 bds$2,511+ 3 bds$2,696+ 4 bds"
